id,name,GN,OS,PE,SV,n,Tax,RepID
UniRef100_A0A0Q9GGV6/4-360,[subseq from] Spore gernimation protein,,,,,2,Bacillus sp. Root147 TaxID=1736468,A0A0Q9GGV6_9BACI
UniRef100_D5DE70/13-369,[subseq from] Spore germination protein B2,,,,,3,Bacillus TaxID=55087,D5DE70_BACMD
UniRef100_UPI000BF8DCB9/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,2,Bacillus megaterium TaxID=1404,UPI000BF8DCB9
UniRef100_A0A369B9E0/12-368,[subseq from] Spore germination protein,,,,,2,Bacillaceae TaxID=186817,A0A369B9E0_9BACI
UniRef100_UPI000EB70D1C/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000EB70D1C
UniRef100_UPI000E3E3FF4/3-360,[subseq from] endospore germination permease,,,,,1,Paraliobacillus quinghaiensis TaxID=470815,UPI000E3E3FF4
UniRef100_A0A2B8K0B8/13-369,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A2B8K0B8_BACME
UniRef100_UPI000BF811FC/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BF811FC
UniRef100_A0A0M0W8U4/13-369,[subseq from] Spore gernimation protein,,,,,2,unclassified Bacillus TaxID=185979,A0A0M0W8U4_9BACI
UniRef100_A0A2T4Z885/4-361,[subseq from] Spore germination protein KB,,,,,1,Desmospora activa DSM 45169 TaxID=1121389,A0A2T4Z885_9BACL
UniRef100_UPI000BF48EB0/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BF48EB0
UniRef100_UPI00106FD0E1/6-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Ammoniphilus sp. YIM 78166 TaxID=1644106,UPI00106FD0E1
UniRef100_D5DGA5/13-369,[subseq from] Spore germination protein (Amino acid permease),,,,,1,Bacillus megaterium (strain DSM 319) TaxID=592022,D5DGA5_BACMD
UniRef100_A0A5B8Q2Z9/13-369,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A5B8Q2Z9_BACME
UniRef100_UPI00112A3FDA/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI00112A3FDA
UniRef100_A0A4U0MJC6/13-369,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A4U0MJC6_BACME
UniRef100_A0A0Q9V1M6/4-360,[subseq from] Spore gernimation protein,,,,,2,Bacillus sp. Soil531 TaxID=1736389,A0A0Q9V1M6_9BACI
UniRef100_A0A2N6VW18/13-369,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A2N6VW18_BACME
UniRef100_UPI000BFB77D3/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BFB77D3
UniRef100_UPI000EB6A673/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000EB6A673
UniRef100_UPI000D31A78C/22-379,[subseq from] endospore germination permease,,,,,1,Desmospora activa TaxID=500615,UPI000D31A78C
UniRef100_UPI000BFB8C6D/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BFB8C6D
UniRef100_UPI0010FD8222/3-361,[subseq from] endospore germination permease,,,,,1,Paenibacillus sp. SYSU_K30003 TaxID=2582848,UPI0010FD8222
UniRef100_A0A2B3VAQ7/13-369,[subseq from] Spore gernimation protein,,,,,2,Bacillus TaxID=55087,A0A2B3VAQ7_BACME
UniRef100_UPI000DCA533B/5-358,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus endophyticus TaxID=135735,UPI000DCA533B
UniRef100_D5DR95/13-369,[subseq from] Spore germination protein B2,,,,,2,Bacillus TaxID=55087,D5DR95_BACMQ
UniRef100_UPI000BF2B581/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BF2B581
UniRef100_UPI000BECD68D/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BECD68D
UniRef100_A0A2B8JIQ7/13-369,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A2B8JIQ7_BACME
UniRef100_UPI000BF4DA38/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BF4DA38
UniRef100_UPI0007ABEB89/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus aryabhattai TaxID=412384,UPI0007ABEB89
UniRef100_UPI0006844A94/3-359,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Paenibacillus ehimensis TaxID=79264,UPI0006844A94
UniRef100_UPI001008079C/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus sp. CMAA 1363 TaxID=1843182,UPI001008079C
UniRef100_A0A0Q9HDR7/4-360,[subseq from] Spore gernimation protein,,,,,2,Bacillus sp. Root239 TaxID=1736499,A0A0Q9HDR7_9BACI
UniRef100_A0A2N5FCR6/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. UMB0893 TaxID=2066053,A0A2N5FCR6_9BACI
UniRef100_UPI00047DD34F/3-360,[subseq from] endospore germination permease,,,,,1,Bacillus sp. J33 TaxID=935836,UPI00047DD34F
UniRef100_UPI0009B9C4DA/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI0009B9C4DA
UniRef100_A0A1K1PLB1/3-360,[subseq from] Spore germination protein KB,,,,,1,Paenibacillus sp. UNCCL117 TaxID=1502764,A0A1K1PLB1_9BACL
UniRef100_A0A426GU19/6-359,[subseq from] Spore gernimation protein,,,,,1,Bacillus simplex TaxID=1478,A0A426GU19_9BACI
UniRef100_A0A2C2V3E6/6-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. AFS031507 TaxID=2033496,A0A2C2V3E6_9BACI
UniRef100_A0A229UP81/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus rigui TaxID=554312,A0A229UP81_9BACL
UniRef100_A0A3Q8X5Z7/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus sp. 18JY67-1 TaxID=2495582,A0A3Q8X5Z7_9BACL
UniRef100_UPI0009EDA4D6/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus TaxID=55087,UPI0009EDA4D6
UniRef100_UPI000415DDCC/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus sp. RP1137 TaxID=1380110,UPI000415DDCC
UniRef100_A0A2A8W364/13-369,[subseq from] Spore gernimation protein,,,,,2,Bacillus TaxID=55087,A0A2A8W364_BACME
UniRef100_M5P8Q5/6-361,[subseq from] Spore germination protein YndE,,,,,1,Bacillus sonorensis L12 TaxID=1274524,M5P8Q5_9BACI
UniRef100_A0A371TJ64/13-369,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. ALD TaxID=2293318,A0A371TJ64_9BACI
UniRef100_UPI0005B4EEEF/4-358,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI0005B4EEEF
UniRef100_UPI00037CE2DD/4-360,[subseq from] endospore germination permease,,,,,1,Bacillus sp. 37MA TaxID=1132442,UPI00037CE2DD
UniRef100_UPI0011A4E471/3-361,[subseq from] endospore germination permease,,,,,1,Bacillus simplex TaxID=1478,UPI0011A4E471
UniRef100_A0A2A7W8L9/6-361,[subseq from] Spore gernimation protein,,,,,2,Bacillus TaxID=55087,A0A2A7W8L9_9BACI
UniRef100_A0A0Q9LSQ7/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus sp. Soil522 TaxID=1736388,A0A0Q9LSQ7_9BACL
UniRef100_UPI000FD6F783/4-359,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Paenibacillus elgii TaxID=189691,UPI000FD6F783
UniRef100_UPI0009D70E81/28-386,[subseq from] endospore germination permease,,,,,1,Paenibacillus sp. Soil522 TaxID=1736388,UPI0009D70E81
UniRef100_UPI0006541D13/9-364,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus glycinifermentans TaxID=1664069,UPI0006541D13
UniRef100_A0A1N7EC15/3-361,[subseq from] Spore germination protein KB,,,,,1,Bacillus simplex TaxID=1478,A0A1N7EC15_9BACI
UniRef100_UPI000BEBF670/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BEBF670
UniRef100_A0A177KYC4/4-360,[subseq from] Spore gernimation protein,,,,,1,Domibacillus aminovorans TaxID=29332,A0A177KYC4_9BACI
UniRef100_UPI000551AC21/4-360,[subseq from] endospore germination permease,,,,,1,Bacillus sp. 72 TaxID=1131816,UPI000551AC21
UniRef100_A0A161UC28/4-359,[subseq from] Uncharacterized protein,,,,,1,Paenibacillus elgii TaxID=189691,A0A161UC28_9BACL
UniRef100_A0A0T6BMR2/6-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus glycinifermentans TaxID=1664069,A0A0T6BMR2_9BACI
UniRef100_A0A4U2M9L4/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus simplex TaxID=1478,A0A4U2M9L4_9BACI
UniRef100_A0A177L6J7/4-360,[subseq from] Spore gernimation protein,,,,,1,Domibacillus aminovorans TaxID=29332,A0A177L6J7_9BACI
UniRef100_A0A1N7FTW0/13-366,[subseq from] Spore germination protein,,,,,2,Bacillus simplex TaxID=1478,A0A1N7FTW0_9BACI
UniRef100_A0A327YP70/3-363,[subseq from] Spore germination protein KB,,,,,1,Anoxybacillus vitaminiphilus TaxID=581036,A0A327YP70_9BACI
UniRef100_UPI0011A79E88/3-361,[subseq from] endospore germination permease,,,,,1,Bacillus simplex TaxID=1478,UPI0011A79E88
UniRef100_A0A1H8VLX1/4-360,[subseq from] Spore germination protein,,,,,1,Paenibacillus sp. OK076 TaxID=1884379,A0A1H8VLX1_9BACL
UniRef100_A0A327RK84/3-360,[subseq from] Spore germination protein KB,,,,,1,Bacillus sp. YR335 TaxID=2135743,A0A327RK84_9BACI
UniRef100_A0A1Y6G3M8/6-361,[subseq from] Spore germination protein,,,,,1,Bacillus sp. OV166 TaxID=1882763,A0A1Y6G3M8_9BACI
UniRef100_A0A267MBV3/34-392,[subseq from] Uncharacterized protein (Fragment),,,,,2,Anaeromicrobium sediminis TaxID=1478221,A0A267MBV3_9CLOT
UniRef100_A0A1I4NDQ8/4-361,[subseq from] Spore germination protein KB,,,,,1,Gracilibacillus orientalis TaxID=334253,A0A1I4NDQ8_9BACI
UniRef100_A0A345PTB3/13-367,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A345PTB3_BACME
UniRef100_A0A1R1RKJ5/5-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus haynesii TaxID=1925021,A0A1R1RKJ5_9BACI
UniRef100_UPI0005ECC6F7/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus aryabhattai TaxID=412384,UPI0005ECC6F7
UniRef100_UPI00030B9B76/5-362,[subseq from] endospore germination permease,,,,,1,Brevibacillus massiliensis TaxID=1118054,UPI00030B9B76
UniRef100_UPI0002F29B77/6-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus bingmayongensis TaxID=1150157,UPI0002F29B77
UniRef100_UPI00096F1EFE/3-360,[subseq from] endospore germination permease,,,,,1,Paenibacillus odorifer TaxID=189426,UPI00096F1EFE
UniRef100_A0A2N0Y4F2/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. BA3 TaxID=2057910,A0A2N0Y4F2_9BACI
UniRef100_UPI000E2EC6DE/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000E2EC6DE
UniRef100_A0A2S1F4A3/13-367,[subseq from] Spore gernimation protein,,,,,2,Bacillus TaxID=55087,A0A2S1F4A3_BACME
UniRef100_UPI000BEE0E24/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BEE0E24
UniRef100_A0A4S5CDG4/13-367,[subseq from] Spore gernimation protein,,,,,3,Bacillus megaterium TaxID=1404,A0A4S5CDG4_BACME
UniRef100_UPI0006650F75/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI0006650F75
UniRef100_A0A2T6FXA3/4-359,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus elgii TaxID=189691,A0A2T6FXA3_9BACL
UniRef100_A0A2G2MJP1/4-361,[subseq from] Spore gernimation protein,,,,,1,Alkaliphilus sp. TaxID=1872455,A0A2G2MJP1_9CLOT
UniRef100_UPI000BF8A48E/13-369,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000BF8A48E
UniRef100_A0A2A4BBQ4/6-359,[subseq from] Spore gernimation protein,,,,,1,Bacillus simplex TaxID=1478,A0A2A4BBQ4_9BACI
UniRef100_A0A1S2C586/13-367,[subseq from] Spore gernimation protein,,,,,1,Bacillus aryabhattai TaxID=412384,A0A1S2C586_9BACI
UniRef100_A0A2G7LSP2/4-360,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus sp. LK1 TaxID=2053014,A0A2G7LSP2_9BACL
UniRef100_UPI00096E0888/3-360,[subseq from] endospore germination permease,,,,,1,Paenibacillus odorifer TaxID=189426,UPI00096E0888
UniRef100_A0A3D8X8Y7/13-367,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A3D8X8Y7_BACME
UniRef100_UPI00096FA657/3-360,[subseq from] endospore germination permease,,,,,1,Paenibacillus odorifer TaxID=189426,UPI00096FA657
UniRef100_UPI000248D552/4-359,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Paenibacillus elgii TaxID=189691,UPI000248D552
UniRef100_A0A2A7WLU4/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus butanolivorans TaxID=421767,A0A2A7WLU4_9BACI
UniRef100_UPI00117DA55B/7-364,[subseq from] endospore germination permease,,,,,2,Paenibacillus odorifer TaxID=189426,UPI00117DA55B
UniRef100_UPI00064F7AF9/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus aryabhattai TaxID=412384,UPI00064F7AF9
UniRef100_A0A098FKW9/3-361,[subseq from] Spore germination protein (Amino acid permease),,,,,1,Bacillus simplex TaxID=1478,A0A098FKW9_9BACI
UniRef100_UPI00101C359F/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI00101C359F
UniRef100_A0A1I3BI84/12-367,[subseq from] Spore germination protein,,,,,1,Bacillus megaterium TaxID=1404,A0A1I3BI84_BACME
UniRef100_UPI00117FBDD3/7-364,[subseq from] endospore germination permease,,,,,1,Paenibacillus odorifer TaxID=189426,UPI00117FBDD3
UniRef100_A0A329M391/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus contaminans TaxID=450362,A0A329M391_9BACL
UniRef100_A0A0L1M7V6/13-367,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A0L1M7V6_BACME
UniRef100_UPI000C083381/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus aryabhattai TaxID=412384,UPI000C083381
UniRef100_A0A4U2M0G0/3-361,[subseq from] Spore gernimation protein,,,,,3,Bacillus simplex TaxID=1478,A0A4U2M0G0_9BACI
UniRef100_A0A345PUI5/13-367,[subseq from] Spore gernimation protein,,,,,1,Bacillus megaterium TaxID=1404,A0A345PUI5_BACME
UniRef100_UPI000D517823/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000D517823
UniRef100_A0A264EAL9/3-360,[subseq from] Uncharacterized protein,,,,,3,Paenibacillus odorifer TaxID=189426,A0A264EAL9_9BACL
UniRef100_UPI0003A5F523/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus TaxID=55087,UPI0003A5F523
UniRef100_UPI0009B77974/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus licheniformis TaxID=1402,UPI0009B77974
UniRef100_UPI000D507847/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI000D507847
UniRef100_A0A1Z5HSB8/5-359,[subseq from] Spore germination protein,,,,,1,Calderihabitans maritimus TaxID=1246530,A0A1Z5HSB8_9THEO
UniRef100_UPI0005C67664/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI0005C67664
UniRef100_UPI00119D83AD/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus licheniformis TaxID=1402,UPI00119D83AD
UniRef100_UPI0002DDBCAC/6-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus bingmayongensis TaxID=1150157,UPI0002DDBCAC
UniRef100_UPI00096DC5C1/3-360,[subseq from] endospore germination permease,,,,,1,Paenibacillus odorifer TaxID=189426,UPI00096DC5C1
UniRef100_A0A5A9RZN9/5-361,[subseq from] Spore gernimation protein,,,,,3,Bacillales TaxID=1385,A0A5A9RZN9_BACLI
UniRef100_A0A2M9N3K7/6-359,[subseq from] Spore germination protein YndE,,,,,1,Paenibacillus sp. GM2FR TaxID=2059268,A0A2M9N3K7_9BACL
UniRef100_A0A1I2FQM7/7-362,[subseq from] Spore germination protein,,,,,1,Paenibacillus algorifonticola TaxID=684063,A0A1I2FQM7_9BACL
UniRef100_A0A2U1K3Y7/4-361,[subseq from] Spore gernimation protein,,,,,1,Pueribacillus theae TaxID=2171751,A0A2U1K3Y7_9BACI
UniRef100_UPI000E28EFFE/6-359,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus butanolivorans TaxID=421767,UPI000E28EFFE
UniRef100_UPI00065FCF5F/3-361,[subseq from] endospore germination permease,,,,,1,Bacillus TaxID=55087,UPI00065FCF5F
UniRef100_UPI001141213F/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus sp. 03113 TaxID=2578211,UPI001141213F
UniRef100_UPI00031C17C3/3-361,[subseq from] endospore germination permease,,,,,1,Paenisporosarcina sp. TG-14 TaxID=1231057,UPI00031C17C3
UniRef100_A0A1R1CJB0/3-361,[subseq from] Uncharacterized protein,,,,,1,Paenibacillus sp. FSL H8-0548 TaxID=1920422,A0A1R1CJB0_9BACL
UniRef100_A0A328WIV9/5-359,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus lautus TaxID=1401,A0A328WIV9_PAELA
UniRef100_UPI00096CF672/4-360,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Paenibacillus pabuli TaxID=1472,UPI00096CF672
UniRef100_UPI000E28E958/3-361,[subseq from] endospore germination permease,,,,,1,Bacillus butanolivorans TaxID=421767,UPI000E28E958
UniRef100_UPI0011A329D3/13-367,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI0011A329D3
UniRef100_A0A5C4SXU2/3-361,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus hemerocallicola TaxID=1172614,A0A5C4SXU2_9BACL
UniRef100_UPI001245B358/6-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Lysinibacillus fusiformis TaxID=28031,UPI001245B358
UniRef100_A0A366XQR5/6-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus taeanensis TaxID=273032,A0A366XQR5_9BACI
UniRef100_UPI000D37FBF4/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Lysinibacillus parviboronicapiens TaxID=436516,UPI000D37FBF4
UniRef100_UPI00077927AD/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus licheniformis TaxID=1402,UPI00077927AD
UniRef100_A0A2H3M1J0/6-359,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. AFS094228 TaxID=2033515,A0A2H3M1J0_9BACI
UniRef100_A0A2A5LC99/6-359,[subseq from] Spore gernimation protein,,,,,1,Paenibacillus lautus TaxID=1401,A0A2A5LC99_PAELA
UniRef100_A0A0M1NTV1/3-361,[subseq from] Spore gernimation protein,,,,,1,Bacillus sp. FJAT-22058 TaxID=1581037,A0A0M1NTV1_9BACI
UniRef100_UPI0011CA506B/7-364,[subseq from] endospore germination permease,,,,,2,Paenibacillus odorifer TaxID=189426,UPI0011CA506B
UniRef100_A0A3Q9RN17/6-359,[subseq from] Spore gernimation protein,,,,,1,Bacillus asahii TaxID=228899,A0A3Q9RN17_9BACI
UniRef100_Q65IP9/5-361,[subseq from] Spore germination protein,,,,,2,Bacillus licheniformis TaxID=1402,Q65IP9_BACLD
UniRef100_UPI00117E6611/7-364,[subseq from] endospore germination permease,,,,,1,Paenibacillus odorifer TaxID=189426,UPI00117E6611
UniRef100_UPI0010CCCC9F/6-360,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus megaterium TaxID=1404,UPI0010CCCC9F
UniRef100_UPI0007C78164/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus licheniformis TaxID=1402,UPI0007C78164
UniRef100_F6DKP0/5-361,[subseq from] Spore germination protein,,,,,1,Desulfotomaculum ruminis (strain ATCC 23193 / DSM 2154 / NCIMB 8452 / DL) TaxID=696281,F6DKP0_DESRL
UniRef100_A0A223EGG0/6-359,[subseq from] Spore gernimation protein,,,,,1,Bacillus simplex NBRC 15720 = DSM 1321 TaxID=1349754,A0A223EGG0_9BACI
UniRef100_UPI001151D171/6-359,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus sp. B4EP4a TaxID=2590665,UPI001151D171
UniRef100_F3M3C0/6-359,[subseq from] Spore germination protein (Amino acid permease),,,,,1,Paenibacillus sp. HGF5 TaxID=908341,F3M3C0_9BACL
UniRef100_UPI0004688358/6-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Lysinibacillus fusiformis TaxID=28031,UPI0004688358
UniRef100_UPI00110EE606/3-361,[subseq from] endospore germination permease,,,,,1,Paenibacillus sp. SYSU_K30004 TaxID=2582849,UPI00110EE606
UniRef100_UPI00128DE71A/5-361,[subseq from] GerAB/ArcD/ProY family transporter,,,,,1,Bacillus paralicheniformis TaxID=1648923,UPI00128DE71A
UniRef100_A0A1R0YX83/3-360,[subseq from] Uncharacterized protein,,,,,1,Paenibacillus odorifer TaxID=189426,A0A1R0YX83_9BACL
UniRef100_UPI000B3B8DAE/4-361,[subseq from] endospore germination permease,,,,,1,Paenibacillus apiarius TaxID=46240,UPI000B3B8DAE
